state_name,median_household_income,median_home_value,median_gross_rent,total_occupied_units,owner_occupied_units,renter_occupied_units,total_population,state_fips,year,homeownership_rate,price_to_income_ratio
Alabama,42081,117600,644,1821210,1295320,525890,4712651,01,2010,71.1,2.79
Alaska,66521,229100,972,248248,160622,87626,691189,02,2010,64.7,3.44
Arizona,50448,215000,856,2326468,1568513,757955,6246816,04,2010,67.4,4.26
Arkansas,39267,102300,617,1117154,756358,360796,2872684,05,2010,67.7,2.61
California,60883,458500,1147,12392852,7112050,5280802,36637290,06,2010,57.4,7.53
Colorado,56456,236600,852,1918959,1296670,622289,4887061,08,2010,67.6,4.19
Connecticut,67740,296500,982,1359218,939984,419234,3545837,09,2010,69.2,4.38
Delaware,57599,242300,938,331639,244005,87634,881278,10,2010,73.6,4.21
District of Columbia,58526,443300,1063,257317,111879,145438,584400,11,2010,43.5,7.57
Florida,47661,205600,957,7152844,4986629,2166215,18511620,12,2010,69.7,4.31
Georgia,49347,161400,808,3468704,2331778,1136926,9468815,13,2010,67.2,3.27
Hawaii,66420,537400,1260,442267,262419,179848,1333591,15,2010,59.3,8.09
Idaho,46423,172700,689,570283,404844,165439,1526797,16,2010,71.0,3.72
Illinois,55735,202500,834,4769951,3300691,1469260,12745359,17,2010,69.2,3.63
Indiana,47697,123000,683,2465402,1763781,701621,6417398,18,2010,71.5,2.58
Iowa,48872,119200,617,1215954,889912,326042,3016267,19,2010,73.2,2.44
Kansas,49424,122600,671,1101672,765049,336623,2809329,20,2010,69.4,2.48
Kentucky,41576,116800,601,1676708,1171606,505102,4285828,21,2010,69.9,2.81
Louisiana,43445,130000,712,1641165,1120015,521150,4429940,22,2010,68.2,2.99
Maine,46933,176200,707,551125,402907,148218,1327665,23,2010,73.1,3.75
Maryland,70647,329400,1091,2121047,1464162,656885,5696423,24,2010,69.0,4.66
Massachusetts,64509,352300,1006,2512552,1608474,904078,6477096,25,2010,64.0,5.46
Michigan,48432,144200,723,3843997,2852374,991623,9952687,26,2010,74.2,2.98
Minnesota,57243,206200,759,2085917,1548127,537790,5241914,27,2010,74.2,3.6
Mississippi,37881,96500,648,1081052,765685,315367,2941991,28,2010,70.8,2.55
Missouri,46262,137700,667,2349955,1645022,704933,5922314,29,2010,70.0,2.98
Montana,43872,173300,629,401328,277023,124305,973739,30,2010,69.0,3.95
Nebraska,49342,123900,648,711771,488034,223737,1799125,31,2010,68.6,2.51
Nevada,55726,254200,998,979621,589050,390571,2633331,32,2010,60.1,4.56
New Hampshire,63277,253200,933,513804,373237,140567,1313939,33,2010,72.6,4.0
New Jersey,69811,357000,1092,3176069,2126279,1049790,8721577,34,2010,66.9,5.11
New Mexico,43820,158400,683,756112,526585,229527,2013122,35,2010,69.6,3.61
New York,55603,303900,977,7205740,3977188,3228552,19229752,36,2010,55.2,5.47
North Carolina,45570,149100,718,3626179,2468489,1157690,9271178,37,2010,68.1,3.27
North Dakota,46781,111300,555,276642,184117,92525,659858,38,2010,66.6,2.38
Ohio,47358,136400,678,4552270,3149052,1403218,11512431,39,2010,69.2,2.88
Oklahoma,42979,104300,633,1421705,969959,451746,3675339,40,2010,68.2,2.43
Oregon,49260,252600,795,1499267,956144,543123,3761925,41,2010,63.8,5.13
Pennsylvania,50398,159300,739,4940581,3508612,1431969,12612705,42,2010,71.0,3.16
Rhode Island,54902,279300,882,410305,256545,153760,1056389,44,2010,62.5,5.09
South Carolina,43939,134100,701,1741994,1217502,524492,4511428,45,2010,69.9,3.05
South Dakota,46369,122200,574,315468,217250,98218,799462,46,2010,68.9,2.64
Tennessee,43314,134100,678,2443475,1699986,743489,6234968,47,2010,69.6,3.1
Texas,49646,123500,786,8539206,5537188,3002018,24311891,48,2010,64.8,2.49
Utah,56330,218100,781,859158,611498,247660,2657236,49,2010,71.2,3.87
Vermont,51841,208400,809,256612,183162,73450,624258,50,2010,71.4,4.02
Virginia,61406,255100,970,2974481,2048209,926272,7841754,51,2010,68.9,4.15
Washington,57244,285400,882,2577375,1669396,907979,6561297,53,2010,64.8,4.99
West Virginia,38380,94500,549,740874,552855,188019,1840802,54,2010,74.6,2.46
Wisconsin,51598,169000,713,2274611,1580608,694003,5637947,55,2010,69.5,3.28
Wyoming,53802,174000,666,217688,152806,64882,545579,56,2010,70.2,3.23
Puerto Rico,18791,112600,425,1227039,888755,338284,3762322,72,2010,72.4,5.99
Alabama,43160,122300,691,1837576,1289324,548252,4777326,01,2012,70.2,2.83
Alaska,69917,237900,1065,252991,162891,90100,711139,02,2012,64.4,3.4
Arizona,50256,175900,891,2357158,1544719,812439,6410979,04,2012,65.5,3.5
Arkansas,40531,106300,649,1128797,758814,369983,2916372,05,2012,67.2,2.62
California,61400,383900,1209,12466331,6978397,5487934,37325068,06,2012,56.0,6.25
Colorado,58244,236800,915,1962753,1293951,668802,5042853,08,2012,65.9,4.07
Delaware,60119,241100,985,334076,242788,91288,900131,10,2012,72.7,4.01
District of Columbia,64267,443000,1200,261192,110853,150339,605759,11,2012,42.4,6.89
Connecticut,69519,285900,1044,1360184,929560,430624,3572213,09,2012,68.3,4.11
Florida,47309,170800,987,7147013,4865400,2281613,18885152,12,2012,68.1,3.61
Georgia,49604,156400,849,3508477,2315287,1193190,9714569,13,2012,66.0,3.15
Idaho,47015,167100,720,577648,404863,172785,1567803,16,2012,70.1,3.55
Hawaii,67492,517000,1354,447453,260268,187185,1362730,15,2012,58.2,7.66
Illinois,56853,190800,877,4774275,3248521,1525754,12823860,17,2012,68.0,3.36
Indiana,48374,123400,719,2478846,1749798,729048,6485530,18,2012,70.6,2.55
Iowa,51129,123000,655,1223509,888331,335178,3047646,19,2012,72.6,2.41
Kansas,51273,127400,715,1109391,756782,352609,2851183,20,2012,68.2,2.48
Kentucky,42610,120000,638,1691716,1162207,529509,4340167,21,2012,68.7,2.82
Louisiana,44673,137700,762,1696499,1142965,553534,4529605,22,2012,67.4,3.08
Maine,48219,175600,750,553208,398593,154615,1329084,23,2012,72.1,3.64
Maryland,72999,304900,1172,2138806,1456472,682334,5785496,24,2012,68.1,4.18
Massachusetts,66658,335500,1056,2525694,1595959,929735,6560595,25,2012,63.2,5.03
Michigan,48471,128600,755,3818931,2780213,1038718,9897264,26,2012,72.8,2.65
Minnesota,59126,194300,802,2101875,1534719,567156,5313081,27,2012,73.0,3.29
Mississippi,38882,100200,688,1087791,760513,327278,2967620,28,2012,69.9,2.58
Missouri,47333,138400,712,2358270,1626389,731881,5982413,29,2012,69.0,2.92
Montana,45456,183000,667,405508,277816,127692,990785,30,2012,68.5,4.03
Nebraska,51381,126700,687,721026,487740,233286,1827306,31,2012,67.6,2.47
Nevada,54083,190900,1001,992896,574281,418615,2704204,32,2012,57.8,3.53
New Hampshire,64925,245600,972,516845,372021,144824,1317474,33,2012,72.0,3.78
New Jersey,71637,337900,1154,3186878,2108166,1078712,8793888,34,2012,66.2,4.72
New Mexico,44886,161500,736,763844,526495,237349,2055287,35,2012,68.9,3.6
New York,57683,295300,1061,7230896,3940688,3290208,19398125,36,2012,54.5,5.12
North Carolina,46450,153600,759,3693221,2477360,1215861,9544249,37,2012,67.1,3.31
North Dakota,51641,123900,610,282667,187567,95100,676253,38,2012,66.4,2.4
Ohio,48246,133700,710,4555709,3098283,1457426,11533561,39,2012,68.0,2.77
Oklahoma,44891,110800,679,1439292,971017,468275,3749005,40,2012,67.5,2.47
Oregon,50036,246100,854,1512718,945824,566894,3836628,41,2012,62.5,4.92
Pennsylvania,52267,164900,794,4959633,3478602,1481031,12699589,42,2012,70.1,3.15
Rhode Island,56102,259400,908,410639,251217,159422,1052471,44,2012,61.2,4.62
South Carolina,44623,137400,749,1768255,1228200,540055,4630351,45,2012,69.5,3.08
South Dakota,49091,129800,617,320467,219882,100585,815871,46,2012,68.6,2.64
Tennessee,44140,138700,726,2468841,1687700,781141,6353226,47,2012,68.4,3.14
Texas,51563,128000,834,8782598,5609007,3173591,25208897,48,2012,63.9,2.48
Vermont,54168,215800,864,256830,182744,74086,625498,50,2012,71.2,3.98
Utah,58164,217800,839,880873,620475,260398,2766233,49,2012,70.4,3.74
Virginia,63636,249700,1060,3006219,2038207,968012,8014955,51,2012,67.8,3.92
Washington,59374,272900,951,2619995,1671388,948607,6738714,53,2012,63.8,4.6
